"locationID","quadrat","decimalLongitude","decimalLatitude","comment","coordinateVerticalPrecision","coordinateHorizontalPrecision","verbatimCoordinateSystem","geodeticDatum"
"I04",51,-109.859375068416,38.3102186836666,"2 transects of 50 quads",1.9,2,"decimal degrees","WGS84"
"I06",1,-109.780749129521,38.4298012559156,"2 transects of 50 quads",6.6,2.4,"decimal degrees","WGS84"
"I06",100,-109.780806339902,38.4297725602668,"2 transects of 50 quads",6,2.3,"decimal degrees","WGS84"
"I06",50,-109.779407147251,38.4290978276054,"2 transects of 50 quads",3.2,5.5,"decimal degrees","WGS84"
"I06",51,-109.779439875783,38.42904406548,"2 transects of 50 quads",2.2,1.7,"decimal degrees","WGS84"
"I07",50,-109.852775153297,38.2776710754037,"2 transects of 50 quads",4.2,2.1,"decimal degrees","WGS84"
"I07",51,-109.85284251911,38.2776666107929,"2 transects of 50 quads",4.2,2.1,"decimal degrees","WGS84"
"I07",1,-109.853939242368,38.2786200449522,"2 transects of 50 quads",2.8,1.7,"decimal degrees","WGS84"
"I07",100,-109.854037990742,38.2785895404102,"2 transects of 50 quads",2.5,1.6,"decimal degrees","WGS84"
"I10",1,-109.996273552063,38.4759991570021,"2 transects of 50 quads",2.7,1.6,"decimal degrees","WGS84"
"I10",100,-109.996346387277,38.4758924986243,"2 transects of 50 quads",2.7,1.5,"decimal degrees","WGS84"
"I10",50,-109.996505054729,38.4746998677648,"2 transects of 50 quads",2.5,1.7,"decimal degrees","WGS84"
"I10",51,-109.996589077934,38.4747204902471,"2 transects of 50 quads",3.1,1.9,"decimal degrees","WGS84"
"I11",1,-109.762608367413,38.423532027846,"2 transects of 50 quads",2.5,1.7,"decimal degrees","WGS84"
"I11",100,-109.762719833074,38.4234624327932,"2 transects of 50 quads",2.1,1.3,"decimal degrees","WGS84"
"I11",50,-109.764066523138,38.4239514253802,"2 transects of 50 quads",2.3,1.5,"decimal degrees","WGS84"
"I11",51,-109.764089211119,38.4239164557175,"2 transects of 50 quads",2.3,1.8,"decimal degrees","WGS84"
"I12",1,-109.865471201369,38.2727970552614,"2 transects of 50 quads",2.6,2.3,"decimal degrees","WGS84"
