"Plot_ID","Species","Scientific_Name","Max_Cover","Min_Cover","Cover_Change","Master_Stratification"
56,"BRTE","Bromus tectorum",33,2,31,"Grassland"
50,"BRTE","Bromus tectorum",31,1,30,"Grassland"
34,"BRTE","Bromus tectorum",31,6,25,"Grassland"
25,"SATR12","Salsola tragus",23,0,23,"Grassland"
43,"BRTE","Bromus tectorum",30,8,22,"Grassland"
91,"BRTE","Bromus tectorum",23,1,22,"Grassland"
101,"BRTE","Bromus tectorum",40,20,20,"Grassland"
38,"BRTE","Bromus tectorum",18,0,18,"Grassland"
39,"BRTE","Bromus tectorum",17,1,16,"Grassland"
92,"ERTR13","Eremopyrum triticeum",17,1,16,"Grassland"
106,"PLPA2","Plantago patagonica",17,1,16,"Grassland"
88,"PLPA2","Plantago patagonica",17,3,14,"Grassland"
91,"PLPA2","Plantago patagonica",14,0,14,"Grassland"
91,"VUOC","Vulpia octoflora",17,3,14,"Grassland"
113,"PLPA2","Plantago patagonica",14,0,14,"Grassland"
26,"BRTE","Bromus tectorum",15,2,13,"Grassland"
92,"SATR12","Salsola tragus",16,4,12,"Grassland"
58,"BRTE","Bromus tectorum",11,0,11,"Grassland"
26,"SATR12","Salsola tragus",10,0,10,"Grassland"
101,"SATR12","Salsola tragus",10,0,10,"Grassland"
