Type,Basis_Of_Record,Master_Family,Master_Plant_Code,Master_Species,Scientific_Name,Taxon_ID,UT_Family,CO_Family,WY_Family,UT_Plant_Code,UT_Species,CO_Plant_Code,CO_Species,WY_Plant_Code,WY_Species,Add_Synonyms,Taxonomic_Notes,Master_Common_Name,Lifeform,Duration,Nativity,Trinomial,Trinomial_Description,Unique_Species,Unique_Species_Description,LU_Code,Wetland_Code,Wetland_Code_Description,Wetland_Code_Info_Source,Photosynthetic_Pathway
Dataset,HumanObservation,Haloragaceae,MYRIO,Myriophyllum sp.,Myriophyllum,27034,Haloragaceae,Haloragaceae,Haloragaceae,MYRIO,Myriophyllum sp.,MYRIO,Myriophyllum sp.,MYRIO,Myriophyllum sp.,NA,NA,Watermilfoil,Forb,Perennial,NA,0,FALSE,0,FALSE,MYRIOPHYLLUM,OBL,Obligate Wetland,NA,NA
Dataset,HumanObservation,Haloragaceae,MYSI,Myriophyllum sibiricum,Myriophyllum sibiricum,503906,Haloragaceae,Haloragaceae,NA,MYSI,Myriophyllum sibiricum,MYSI,Myriophyllum sibiricum,NA,NA,NA,NA,Siberian water-milfoil,Forb,Perennial,Native,0,FALSE,1,TRUE,MYRSIB,OBL,Obligate Wetland,"Welsh et al. 2008. Utah flora, 4th ed.",NA
Dataset,HumanObservation,Haloragaceae,MYSP2,Myriophyllum spicatum,Myriophyllum spicatum,27039,Haloragaceae,NA,NA,MYSP2,Myriophyllum spicatum,NA,NA,NA,NA,"Myriophyllum exalbescens, Myriophyllum spicatum var. exalbescens",NA,European milfoil,Forb,Perennial,NonNative,0,FALSE,1,TRUE,MYRSPI,OBL,Obligate Wetland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Polemoniaceae,NABR,Navarretia breweri,Navarretia breweri,31325,Polemoniaceae,Polemoniaceae,Polemoniaceae,NABR,Navarretia breweri,NABR,Navarretia breweri,NABR,Navarretia breweri,NA,NA,Yellow navarretia,Forb,Annual,Native,0,FALSE,1,TRUE,NAVBRE,UPL,Upland,"Welsh et al. 2008. Utah flora, 4th ed.",NA
Dataset,HumanObservation,Hydrophyllaceae,NADE,Nama demissum,Nama demissum,31411,Hydrophyllaceae,NA,NA,NADE,Nama demissum,NA,NA,NA,NA,NA,NA,Purple-mat,Forb,Annual,Native,0,FALSE,1,TRUE,NAMDEM,UPL,Upland,NA,NA
Dataset,HumanObservation,Hydrophyllaceae,NADE2,Nama densum,Nama densum,31401,Hydrophyllaceae,Hydrophyllaceae,Hydrophyllaceae,NADE2,Nama densum,NADE2,Nama densum,NADE2,Nama densum,NA,NA,Leafy nama,Forb,Annual,Native,0,FALSE,1,TRUE,NAMDEN,UPL,Upland,NA,NA
Dataset,HumanObservation,Hydrophyllaceae,NADI,Nama dichotomum,Nama dichotomum,31413,NA,Hydrophyllaceae,NA,NA,NA,NADI,Nama dichotomum,NA,NA,NA,NA,Wishbone fiddleleaf,Forb,Annual,Native,0,FALSE,1,TRUE,NA,UPL,Upland,NA,NA
Dataset,HumanObservation,Najadaceae,NAGU,Najas guadalupensis,Najas guadalupensis,38998,Najadaceae,NA,NA,NAGU,Najas guadalupensis,NA,NA,NA,NA,Najas guadalupensis ssp. guadalupensis,NA,Southern waternymph,Forb,Annual,Native,0,FALSE,1,TRUE,NAJGUA,OBL,Obligate Wetland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Hydrophyllaceae,NAHI,Nama hispidum,Nama hispidum,31414,Hydrophyllaceae,NA,NA,NAHI,Nama hispidum,NA,NA,NA,NA,NA,NA,Hairy nama,Forb,Annual,Native,0,FALSE,1,TRUE,NAMHIS,UPL,Upland,NA,NA
Dataset,HumanObservation,Polemoniaceae,NAIN2,Navarretia intertexta,Navarretia intertexta,31316,Polemoniaceae,NA,Polemoniaceae,NAIN2,Navarretia intertexta,NA,NA,NAINP2,Navarretia intertexta,NA,NA,Great basin navarretia,Forb,Annual,Native,0,FALSE,1,TRUE,NAVINT,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Najadaceae,NAJAS,Najas sp.,Najas,38995,Najadaceae,Najadaceae,Najadaceae,NAJAS,Najas sp.,NAJAS,Najas sp.,NAJAS,Najas sp.,NA,NA,Waternymph,NA,NA,NA,0,FALSE,0,FALSE,NAJAS,NA,NA,NA,NA
Dataset,HumanObservation,Hydrophyllaceae,NAMA4,Nama sp.,Nama,31399,Hydrophyllaceae,Hydrophyllaceae,Hydrophyllaceae,NAMA4,Nama sp.,NAMA4,Nama sp.,NAMA4,Nama sp.,NA,NA,Fiddleleaf,Forb,Annual,Native,0,FALSE,0,FALSE,NAMA,UPL,Upland,NA,NA
Dataset,HumanObservation,Hydrophyllaceae,NARE,Nama retrorsum,Nama retrorsum,31405,Hydrophyllaceae,NA,NA,NARE,Nama retrorsum,NA,NA,NA,NA,NA,NA,Howell's nama,Forb,Annual,Native,0,FALSE,1,TRUE,NAMRET,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,NASSE,Nassella sp.,Nassella,41955,Gramineae,Poaceae,Poaceae,NASSE,Nassella sp.,NASSE,Nassella sp.,NASSE,Nassella sp.,NA,NA,Needlegrass,NA,NA,NA,0,FALSE,0,FALSE,NASSELLA,NA,NA,NA,C3
Dataset,HumanObservation,Polemoniaceae,NAVAR,Navarretia sp.,Navarretia,31310,Polemoniaceae,Polemoniaceae,Polemoniaceae,NAVAR,Navarretia sp.,NAVAR,Navarretia sp.,NAVAR,Navarretia sp.,NA,NA,Pincushionplant,Forb,Annual,Native,0,FALSE,0,FALSE,NAVARRETIA,NA,NA,NA,NA
Dataset,HumanObservation,Poaceae,NAVI4,Nassella viridula,Nassella viridula,507086,Gramineae,Poaceae,Poaceae,STVI4,Stipa viridula,NAVI4,Nassella viridula,NAVI4,Nassella viridula,NA,NA,Green needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STIVIR,UPL,Upland,NA,C3
Dataset,HumanObservation,Hydrophyllaceae,NEBR,Nemophila breviflora,Nemophila breviflora,31423,Hydrophyllaceae,Hydrophyllaceae,Hydrophyllaceae,NEBR,Nemophila breviflora,NEBR,Nemophila breviflora,NEBR,Nemophila breviflora,NA,NA,Great basin nemophila,Forb,Annual,Native,0,FALSE,1,TRUE,NEMBRE,UPL,Upland,NA,NA
