Type,Basis_Of_Record,Master_Family,Master_Plant_Code,Master_Species,Scientific_Name,Taxon_ID,UT_Family,CO_Family,WY_Family,UT_Plant_Code,UT_Species,CO_Plant_Code,CO_Species,WY_Plant_Code,WY_Species,Add_Synonyms,Taxonomic_Notes,Master_Common_Name,Lifeform,Duration,Nativity,Trinomial,Trinomial_Description,Unique_Species,Unique_Species_Description,LU_Code,Wetland_Code,Wetland_Code_Description,Wetland_Code_Info_Source,Photosynthetic_Pathway
Dataset,HumanObservation,Nyctaginaceae,ABAR,Abronia argillosa,Abronia argillosa,181898,Nyctaginaceae,Nyctaginaceae,NA,ABAR,Abronia argillosa,ABAR,Abronia argillosa,NA,NA,NA,NA,Clay sand-verbena,Forb,Perennial,Native,0,FALSE,1,TRUE,ABRARG,UPL,Upland,NA,NA
Dataset,HumanObservation,Pinaceae,ABCO,Abies concolor,Abies concolor,181826,Pinaceae,NA,NA,ABCO,Abies concolor,NA,NA,NA,NA,NA,NA,White fir,Tree,Perennial,Native,0,FALSE,1,TRUE,ABICON,UPL,Upland,NA,NA
Dataset,HumanObservation,Nyctaginaceae,ABFR2,Abronia fragrans,Abronia fragrans,19557,Nyctaginaceae,Nyctaginaceae,NA,ABFR2,Abronia fragrans,ABFR2,Abronia fragrans,NA,NA,"Abronia fragrans var. fragrans, Abronia fragrans var. elliptica, Abronia nana var. harrisii.",Includes abronia elliptica,Fragrant sand-verbena,Forb,Perennial,Native,0,FALSE,1,TRUE,ABRFRA,UPL,Upland,NA,NA
Dataset,HumanObservation,Pinaceae,ABIES,Abies sp.,Abies,18031,Pinaceae,Pinaceae,Pinaceae,ABIES,Abies sp.,ABIES,Abies sp.,ABIES,Abies sp.,NA,NA,Fir,Tree,Perennial,Native,0,FALSE,0,FALSE,ABIES,UPL,Upland,NA,NA
Dataset,HumanObservation,Pinaceae,ABLA,Abies lasiocarpa,Abies lasiocarpa,181830,Pinaceae,NA,NA,ABLA,Abies lasiocarpa,NA,NA,NA,NA,NA,NA,Subalpine fir,Tree,Perennial,Native,0,FALSE,1,TRUE,ABILAS,UPL,Upland,NA,NA
Dataset,HumanObservation,Nyctaginaceae,ABNA,Abronia nana,Abronia nana,19565,Nyctaginaceae,Nyctaginaceae,NA,ABNA,Abronia nana,ABNA,Abronia nana,NA,NA,Abronia nana var. nana,NA,Low sand-verbena,Forb,Perennial,Native,0,FALSE,1,TRUE,ABRNAN,UPL,Upland,NA,NA
Dataset,HumanObservation,Nyctaginaceae,ABRON,Abronia sp.,Abronia,19550,Nyctaginaceae,Nyctaginaceae,Nyctaginaceae,ABRON,Abronia sp.,ABRON,Abronia sp.,ABRON,Abronia sp.,NA,NA,Sand verbena,Forb,Perennial,Native,0,FALSE,0,FALSE,ABRONIA,UPL,Upland,NA,NA
Dataset,HumanObservation,Malvaceae,ABTH,Abutilon theophrasti,Abutilon theophrasti,21674,Malvaceae,Malvaceae,Malvaceae,ABTH,Abutilon theophrasti,ABTH,Abutilon theophrasti,ABTH,Abutilon theophrasti,NA,NA,Velvetleaf,Forb,Annual,NonNative,0,FALSE,1,TRUE,ABUTHE,NA,NA,NA,NA
Dataset,HumanObservation,Asteraceae,ACAMP,Acamptopappus sp.,Acamptopappus,36441,Compositae,Asteraceae,Asteraceae,ACAMP,Acamptopappus sp.,ACAMP,Acamptopappus sp.,ACAMP,Acamptopappus sp.,NA,NA,Goldenhead,NA,NA,NA,0,FALSE,0,FALSE,ACAMPTOPAPPUS,NA,NA,NA,NA
Dataset,HumanObservation,Poaceae,ACAR14,Achnatherum aridum,Achnatherum aridum,507932,Gramineae,Poaceae,NA,STAR2,Stipa arida,ACAR14,Achnatherum aridum,NA,NA,NA,NA,Mormon needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STIARI,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,ACBL,Achnatherum x bloomeri,Achnatherum bloomeri,507933,Gramineae,Poaceae,NA,STBL4,Stipa x bloomeri,ACBL,Achnatherum x bloomeri,NA,NA,Stiporyzopsis x bloomeri,Hybrids between stipa hymenoides and other stipa species except stipa comata,Bloomer's ricegrass,Graminoid,Perennial,Native,1,TRUE,1,TRUE,STIXBLO,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,ACCO21,Achnatherum coronatum,Achnatherum coronatum,507938,Gramineae,NA,NA,STCOD,Stipa coronata,NA,NA,NA,NA,NA,NA,Depauperate needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STICOR,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,ACCO22,Achnatherum contractum,Achnatherum contractum,507937,NA,NA,Poaceae,NA,NA,NA,NA,ACCO22,Achnatherum contractum,"Oryzopsis contracta, Oryzopsis hymenoides var. contracta",NA,Contracted indian ricegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,NA,UPL,Upland,NA,C3
Dataset,HumanObservation,Ranunculaceae,ACCO4,Aconitum columbianum,Aconitum columbianum,18416,Ranunculaceae,Helleboraceae,NA,ACCO4,Aconitum columbianum,ACCO4,Aconitum columbianum,NA,NA,NA,Includes var. ochroleucum,Columbian monkshood,Forb,Perennial,Native,0,FALSE,1,TRUE,ACOCOL,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Aceraceae,ACER,Acer sp.,Acer,28727,Aceraceae,Aceraceae,Aceraceae,ACER,Acer sp.,ACER,Acer sp.,ACER,Acer sp.,NA,NA,Maple,Tree,Perennial,Native,0,FALSE,0,FALSE,ACER,NA,NA,NA,NA
Dataset,HumanObservation,Aceraceae,ACGL,Acer glabrum,Acer glabrum,28742,Aceraceae,Aceraceae,Aceraceae,ACGL,Acer glabrum,ACGL,Acer glabrum,ACGL,Acer glabrum,NA,NA,Rocky mountain maple,Tree,Perennial,Native,0,FALSE,1,TRUE,ACEGLA,FAC,Facultative,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Aceraceae,ACGR3,Acer grandidentatum,Acer grandidentatum,28760,Aceraceae,Aceraceae,Aceraceae,ACGR3,Acer grandidentatum,ACGR3,Acer grandidentatum,ACGR3,Acer grandidentatum,NA,NA,Bigtooth maple,Tree,Perennial,Native,0,FALSE,1,TRUE,ACEGRA,UPL,Upland,NA,NA
Dataset,HumanObservation,Asteraceae,ACHIL,Achillea sp.,Achillea,35422,Compositae,Asteraceae,Asteraceae,ACHIL,Achillea sp.,ACHIL,Achillea sp.,ACHIL,Achillea sp.,NA,NA,Yarrow,NA,NA,NA,0,FALSE,0,FALSE,ACHILLEA,NA,NA,NA,NA
Dataset,HumanObservation,Poaceae,ACHNA,Achnatherum sp.,Achnatherum,500933,Gramineae,Poaceae,Poaceae,ACHNA,Achnatherum sp.,ACHNA,Achnatherum sp.,ACHNA,Achnatherum sp.,NA,NA,Needlegrass,NA,NA,NA,0,FALSE,0,FALSE,ACHNATHERUM,NA,NA,NA,C3
Dataset,HumanObservation,Poaceae,ACHY,Achnatherum hymenoides,Achnatherum hymenoides,507943,Gramineae,Poaceae,Poaceae,STHY6,Stipa hymenoides,ACHY,Achnatherum hymenoides,ACHY,Achnatherum hymenoides,Oryzopsis hymenoides,NA,Indian ricegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STIHYM,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,ACLE9,Achnatherum lettermanii,Achnatherum lettermanii,507946,Gramineae,Poaceae,Poaceae,STLE4,Stipa lettermanii,ACLE9,Achnatherum lettermanii,ACLE9,Achnatherum lettermanii,NA,NA,Letterman's needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STILET,UPL,Upland,NA,C3
Dataset,HumanObservation,Asteraceae,ACMI2,Achillea millefolium,Achillea millefolium,35423,Compositae,Asteraceae,Asteraceae,ACMI2,Achillea millefolium,ACMI2,Achillea lanulosa,ACMI2,Achillea millefolium,NA,NA,Common yarrow,Forb,Perennial,Native,0,FALSE,1,TRUE,ACHMIL,FACU,Facultative Upland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Aceraceae,ACNE2,Acer negundo,Acer negundo,28749,Aceraceae,Aceraceae,Aceraceae,ACNE2,Acer negundo,ACNE2,Negundo aceroides,ACNE2,Acer negundo,NA,NA,Boxelder,Tree,Perennial,Native,0,FALSE,1,TRUE,ACENEG,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Poaceae,ACNE9,Achnatherum nelsonii,Achnatherum nelsonii,507948,Gramineae,Poaceae,Poaceae,ACNE9,Stipa nelsonii,ACNE9,Achnatherum nelsonii,ACNE9,Achnatherum nelsonii,NA,NA,Columbia needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STINEL,UPL,Upland,NA,C3
Dataset,HumanObservation,Ranunculaceae,ACONI,Aconitum sp.,Aconitum,18411,Ranunculaceae,Ranunculaceae,Ranunculaceae,ACONI,Aconitum sp.,ACONI,Aconitum sp.,ACONI,Aconitum sp.,NA,NA,Monkshood,NA,NA,NA,0,FALSE,0,FALSE,ACONITUM,NA,NA,NA,NA
Dataset,HumanObservation,Asteraceae,ACOUR,Acourtia sp.,Acourtia,36452,Compositae,Asteraceae,Asteraceae,ACOUR,Acourtia sp.,ACOUR,Acourtia sp.,ACOUR,Acourtia sp.,NA,NA,Desertpeony,NA,NA,NA,0,FALSE,0,FALSE,ACOURTIA,NA,NA,NA,NA
Dataset,HumanObservation,Poaceae,ACPA13,Achnatherum parishii,Achnatherum parishii,507952,Gramineae,NA,NA,STCOP2,Stipa coronata var. parishii,NA,NA,NA,NA,Stipa parishii,NA,Crested needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STICORP,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,ACPI2,Achnatherum pinetorum,Achnatherum pinetorum,507954,Gramineae,Poaceae,Poaceae,STPI2,Stipa pinetorum,ACPI2,Achnatherum pinetorum,ACPI2,Achnatherum pinetorum,NA,NA,Pine needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STIPIN,UPL,Upland,NA,C3
Dataset,HumanObservation,Asteraceae,ACRE3,Acroptilon repens,Acroptilon repens,36459,Compositae,Asteraceae,Asteraceae,CERE6,Centaurea repens,ACRE3,Acroptilon repens,CERE6,Centaurea repens,NA,NA,Russian knapweed,Forb,Perennial,NonNative,0,FALSE,1,TRUE,ACRREP,FACW,Facultative Wetland,"Welsh et al. 2008. Utah flora, 4th ed.",NA
Dataset,HumanObservation,Asteraceae,ACROP,Acroptilon sp.,Acroptilon,36458,Compositae,Asteraceae,Asteraceae,ACROP,Acroptilon sp.,ACROP,Acroptilon sp.,ACROP,Acroptilon sp.,NA,NA,Hardheads,NA,NA,NA,0,FALSE,0,FALSE,ACROPTILON,NA,NA,NA,NA
Dataset,HumanObservation,Ranunculaceae,ACRU2,Actaea rubra,Actaea rubra,18723,Ranunculaceae,Helleboraceae,Ranunculaceae,ACRU2,Actaea rubra,ACRUA8,Actaea rubra,ACRU2,Actaea rubra,NA,NA,Red baneberry,Forb,Perennial,Native,0,FALSE,1,TRUE,ACTRUB,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,ACSC11,Achnatherum scribneri,Achnatherum scribneri,507957,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stipa scribneri,NA,Scribner's ricegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,NA,UPL,Upland,NA,C3
Dataset,HumanObservation,Asteraceae,ACSP,Acamptopappus sphaerocephalus,Acamptopappus sphaerocephalus,36443,Compositae,NA,NA,ACSP,Acamptopappus sphaerocephalus,ACSP,Acamptopappus sphaerocephalus,NA,NA,Acamptopappus sphaerocephalus var. sphaerocephalus,NA,Goldenhead,Shrub,Perennial,Native,0,FALSE,1,TRUE,ACASPH,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,ACSP12,Achnatherum speciosum,Achnatherum speciosum,507958,Gramineae,Poaceae,NA,STSP3,Stipa speciosa,ACSP12,Achnatherum speciosum,NA,NA,NA,NA,Desert needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STISPE,UPL,Upland,NA,C3
Dataset,HumanObservation,Ranunculaceae,ACTAE,Actaea sp.,Actaea,18721,Ranunculaceae,Ranunculaceae,Ranunculaceae,ACTAE,Actaea sp.,ACTAE,Actaea sp.,ACTAE,Actaea sp.,NA,NA,Baneberry,NA,NA,NA,0,FALSE,0,FALSE,ACTAEA,NA,NA,NA,NA
Dataset,HumanObservation,Asteraceae,ACWR5,Acourtia wrightii,Acourtia wrightii,36457,Compositae,NA,NA,ACWR5,Acourtia wrightii,NA,NA,NA,NA,Perezia wrightii,NA,Wright's perezia,Forb,Perennial,Native,0,FALSE,1,TRUE,ACOWRI,UPL,Upland,NA,NA
Dataset,HumanObservation,Adiantaceae,ADAL,Adiantum aleuticum,Adiantum aleuticum,181788,Polypodiaceae,NA,NA,ADPEA,Adiantum pedatum,NA,NA,NA,NA,Adiantum pedatum,NA,Northern maidenhair fern,Fern,Perennial,Native,0,FALSE,1,TRUE,ADIPED,FACW,Facultative Wetland,"Welsh et al. 2008. Utah flora, 4th ed.",NA
Dataset,HumanObservation,Adiantaceae,ADCA,Adiantum capillus-veneris,Adiantum capillus-veneris,17308,Polypodiaceae,Adiantaceae,NA,ADCA,Adiantum capillus-veneris,ADCA,Adiantum capillus-veneris,NA,NA,NA,NA,Southern maidenhair fern,Fern,Perennial,Native,0,FALSE,1,TRUE,ADICAP,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Pteridaceae,ADIAN,Adiantum sp.,Adiantum,17307,Pteridaceae,Pteridaceae,Pteridaceae,ADIAN,Adiantum sp.,ADIAN,Adiantum sp.,ADIAN,Adiantum sp.,NA,NA,Maidenhair fern,Fern,Perennial,Native,0,FALSE,0,FALSE,ADIANTUM,FACW,Facultative Wetland,NA,NA
Dataset,HumanObservation,Poaceae,AECY,Aegilops cylindrica,Aegilops cylindrica,182536,Gramineae,Poaceae,NA,AECY,Aegilops cylindrica,CYCY5,Cylindropyrum cylindricum,NA,NA,NA,NA,Jointed goatgrass,Graminoid,Annual,NonNative,0,FALSE,1,TRUE,AEGCYL,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,AEGIL,Aegilops sp.,Aegilops,182534,Gramineae,Poaceae,Poaceae,AEGIL,Aegilops sp.,AEGIL,Aegilops sp.,AEGIL,Aegilops sp.,NA,NA,Goatgrass,NA,NA,NA,0,FALSE,0,FALSE,AEGILOPS,NA,NA,NA,C3
Dataset,HumanObservation,Lamiaceae,AGAST,Agastache sp.,Agastache,32431,Labiatae,Lamiaceae,Lamiaceae,AGAST,Agastache sp.,AGAST,Agastache sp.,AGAST,Agastache sp.,NA,NA,Giant hyssop,NA,NA,NA,0,FALSE,0,FALSE,AGASTACHE,NA,NA,NA,NA
Dataset,HumanObservation,Asteraceae,AGAU2,Agoseris aurantiaca,Agoseris aurantiaca,36488,Compositae,Asteraceae,Asteraceae,AGAU2,Agoseris aurantiaca,AGAU2,Agoseris aurantiaca,AGAU2,Agoseris aurantiaca,NA,NA,Orange agoseris,Forb,Perennial,Native,0,FALSE,1,TRUE,AGOAUR,FACU,Facultative Upland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Poaceae,AGCA5,Agrostis capillaris,Agrostis capillaris,185249,Gramineae,NA,NA,AGCA5,Agrostis capillaris,NA,NA,NA,NA,Agrostis tenuis,NA,Colonial bentgrass,Graminoid,Perennial,NonNative,0,FALSE,1,TRUE,AGRCAP,FAC,Facultative,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Poaceae,AGCR,Agropyron cristatum,Agropyron cristatum,182478,Gramineae,Poaceae,Poaceae,AGCR,Agropyron cristatum,AGCR,Agropyron cristatum,AGCR,Agropyron cristatum,NA,NA,Crested wheatgrass,Graminoid,Perennial,NonNative,0,FALSE,1,TRUE,AGRCRI,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,AGCRP8,Agropyron cristatum ssp. pectinatum,Agropyron cristatum pectinatum,182479,NA,Poaceae,NA,NA,NA,AGPE5,Agropyron pectiniforme,NA,NA,Agropyron cristatum var. pectiniforme,NA,Crested wheatgrass,Graminoid,Perennial,NonNative,1,TRUE,1,TRUE,NA,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,AGDE2,Agropyron desertorum,Agropyron desertorum,40372,NA,Poaceae,Poaceae,NA,NA,AGDE2,Agropyron desertorum,AGCRD2,NA,NA,NA,Clustered wheatgrass,Graminoid,Perennial,NonNative,0,FALSE,1,TRUE,NA,UPL,Upland,NA,C3
Dataset,HumanObservation,Asteraceae,AGERA2,Ageratina sp.,Ageratina,36464,Compositae,Asteraceae,Asteraceae,AGERA2,Ageratina sp.,AGERA2,Ageratina sp.,AGERA2,Ageratina sp.,NA,NA,Snakeroot,NA,NA,NA,0,FALSE,0,FALSE,AGERATINA,NA,NA,NA,NA
Dataset,HumanObservation,Poaceae,AGEX,Agrostis exarata,Agrostis exarata,40412,Gramineae,Poaceae,Poaceae,AGEX,Agrostis exarata,AGEX,Agrostis exarata,AGEX,Agrostis exarata,NA,NA,Spike bentgrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,AGREXA,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Poaceae,AGGI2,Agrostis gigantea,Agrostis gigantea,40414,NA,Poaceae,NA,NA,NA,AGGI2,Agrostis gigantea,NA,NA,NA,Included in agrostis stolonifera by some authors,Redtop,Graminoid,Perennial,NonNative,0,FALSE,1,TRUE,NA,FAC,Facultative,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Asteraceae,AGGL,Agoseris glauca,Agoseris glauca,36490,Compositae,Asteraceae,Asteraceae,AGGL,Agoseris glauca,AGGL,Agoseris glauca,AGGL,Agoseris glauca,NA,NA,Pale agoseris,Forb,Perennial,Native,0,FALSE,1,TRUE,AGOGLA,FACU,Facultative Upland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Asteraceae,AGHE2,Agoseris heterophylla,Agoseris heterophylla,36492,Compositae,Asteraceae,NA,AGHE2,Agoseris heterophylla,AGHE2,Agoseris heterophylla,NA,NA,Agoseris heterophylla var. heterophylla,NA,Annual agoseris,Forb,Annual,Native,0,FALSE,1,TRUE,AGOHET,UPL,Upland,NA,NA
Dataset,HumanObservation,Asteraceae,AGHE5,Ageratina herbacea,Ageratina herbacea,36469,Compositae,Asteraceae,NA,EUHE7,Eupatorium herbaceum,AGHE5,Ageratina herbacea,NA,NA,NA,NA,White thoroughwort,Forb,Perennial,Native,0,FALSE,1,TRUE,EUPHER,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,AGHU,Agrostis humilis,Agrostis humilis,182505,Gramineae,Poaceae,NA,AGHU,Agrostis humilis,POHU,Podagrostis humilis,NA,NA,NA,NA,Alpine bengrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,AGRHUM,FACU,Facultative Upland,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Poaceae,AGID,Agrostis idahoensis,Agrostis idahoensis,40418,Gramineae,NA,NA,AGID,Agrostis x idahoensis,NA,NA,NA,NA,NA,NA,Idaho bentgrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,AGRXIDA,FAC,Facultative,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Asteraceae,AGOSE,Agoseris sp.,Agoseris,36485,Compositae,Asteraceae,Asteraceae,AGOSE,Agoseris sp.,AGOSE,Agoseris sp.,AGOSE,Agoseris sp.,NA,NA,Agoseris,Forb,NA,Native,0,FALSE,0,FALSE,AGOSERIS,NA,NA,NA,NA
Dataset,HumanObservation,Lamiaceae,AGPA,Agastache pallidiflora,Agastache pallidiflora,32444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bill williams mountain giant hyssop,Forb,Perennial,Native,0,FALSE,1,TRUE,NA,UPL,Upland,NA,NA
Dataset,HumanObservation,Asteraceae,AGRE,Agoseris retrorsa,Agoseris retrorsa,36493,Compositae,NA,NA,AGRE,Agoseris retrorsa,NA,NA,NA,NA,NA,NA,Retrorse agoseris,Forb,Perennial,Native,0,FALSE,1,TRUE,AGORET,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,AGROP2,Agropyron sp.,Agropyron,40353,Gramineae,Poaceae,Poaceae,AGROP2,Agropyron sp.,AGROP2,Agropyron sp.,AGROP2,Agropyron sp.,NA,NA,Wheatgrass,NA,NA,NA,0,FALSE,0,FALSE,AGROPYRON,NA,NA,NA,C3
Dataset,HumanObservation,Poaceae,AGROS2,Agrostis sp.,Agrostis,40389,Gramineae,Poaceae,Poaceae,AGROS2,Agrostis sp.,AGROS2,Agrostis sp.,AGROS2,Agrostis sp.,NA,NA,Bentgrass,Graminoid,Perennial,NA,0,FALSE,0,FALSE,AGROSTIS,NA,NA,NA,C3
Dataset,HumanObservation,Poaceae,AGSC5,Agrostis scabra,Agrostis scabra,40424,Gramineae,Poaceae,Poaceae,AGSC5,Agrostis scabra,AGSC5,Agrostis scabra,AGSC5,Agrostis scabra,"Agrostis hiemalis, Agrostis geminata",NA,Ticklegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,AGRSCA,FAC,Facultative,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Poaceae,AGST2,Agrostis stolonifera,Agrostis stolonifera,40400,Gramineae,Poaceae,Poaceae,AGST2,Agrostis stolonifera,AGST2,Agrostis stolonifera,AGST2,Agrostis stolonifera,"Agrostis alba, Agrostis gigantea",NA,Redtop,Graminoid,Perennial,NonNative,0,FALSE,1,TRUE,AGRSTO,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Poaceae,AGTH2,Agrostis thurberiana,Agrostis thurberiana,182510,Gramineae,Poaceae,NA,AGTH2,Agrostis thurberiana,POTH3,Podagrostis thurberiana,NA,NA,NA,Included in agrostis humilis by some authors,Thurber bentgrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,AGRTHU,OBL,Obligate Wetland,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Lamiaceae,AGUR,Agastache urticifolia,Agastache urticifolia,32450,Labiatae,Lamiaceae,Lamiaceae,AGUR,Agastache urticifolia,AGUR,Agastache urticifolia,AGUR,Agastache urticifolia,NA,NA,Nettle-leaf horsemint,Forb,Perennial,Native,0,FALSE,1,TRUE,AGAURT,UPL,Upland,NA,NA
Dataset,HumanObservation,Simaroubaceae,AIAL,Ailanthus altissima,Ailanthus altissima,28827,Simaroubaceae,NA,NA,AIAL,Ailanthus altissima,NA,NA,NA,NA,NA,NA,Tree-of-heaven,Tree,Perennial,NonNative,0,FALSE,1,TRUE,AILALT,FACU,Facultative Upland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Simaroubaceae,AILAN,Ailanthus sp.,Ailanthus,28826,Simaroubaceae,Simaroubaceae,Simaroubaceae,AILAN,Ailanthus sp.,AILAN,Ailanthus sp.,AILAN,Ailanthus sp.,NA,NA,Ailanthus,NA,NA,NA,0,FALSE,0,FALSE,AILANTHUS,NA,NA,NA,NA
Dataset,HumanObservation,Liliaceae,ALAC4,Allium acuminatum,Allium acuminatum,42707,Liliaceae,Alliaceae,NA,ALAC4,Allium acuminatum,ALAC4,Allium acuminatum,NA,NA,NA,NA,Taper-tip onion,Forb,Perennial,Native,0,FALSE,1,TRUE,ALLACU,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,ALAE,Alopecurus aequalis,Alopecurus aequalis,40436,Gramineae,Poaceae,Poaceae,ALAE,Alopecurus aequalis,ALAE,Alopecurus aequalis,ALAE,Alopecurus aequalis,NA,NA,Shortawn foxtail,Graminoid,Perennial,Native,0,FALSE,1,TRUE,ALOAEQ,OBL,Obligate Wetland,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Poaceae,ALAL2,Alopecurus alpinus,Alopecurus alpinus,40432,Gramineae,Poaceae,NA,ALAL2,Alopecurus alpinus,ALAL2,Alopecurus alpinus,NA,NA,Alopecurus borealis,NA,Alpine foxtail,Graminoid,Perennial,Native,0,FALSE,1,TRUE,ALOALP,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Brassicaceae,ALAL3,Alyssum alyssoides,Alyssum alyssoides,23030,Cruciferae,Brassicaceae,NA,ALAL3,Alyssum alyssoides,ALAL3,Alyssum alyssoides,NA,NA,NA,NA,Pale madwort,Forb,Annual,NonNative,0,FALSE,1,TRUE,ALYALY,UPL,Upland,NA,NA
Dataset,HumanObservation,Apiaceae,ALAN3,Aletes anisatus,Aletes anisatus,29572,NA,Apiaceae,NA,NA,NA,ALAN3,Aletes anisatus,NA,NA,NA,NA,Rocky mountain indian parsley,Forb,Perennial,Native,0,FALSE,1,TRUE,NA,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,ALAR,Alopecurus arundinaceus,Alopecurus arundinaceus,40439,Gramineae,NA,Poaceae,ALVE,Alopecurus ventricosus,NA,NA,ALAR,Alopecurus arundinaceus,NA,NA,Creeping foxtail,Graminoid,Perennial,NonNative,0,FALSE,1,TRUE,ALOVEN,FAC,Facultative,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Liliaceae,ALBI2,Allium bisceptrum,Allium bisceptrum,42714,Liliaceae,NA,NA,ALBI2,Allium bisceptrum,NA,NA,NA,NA,NA,Includes vars. bisceptrum & palmeri.,Twincrest onion,Forb,Perennial,Native,0,FALSE,1,TRUE,ALLBIS,FAC,Facultative,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Fabaceae,ALBIZ,Albizia sp.,Albizia,26448,Leguminosae,Fabaceae,Fabaceae,ALBIZ,Albizia sp.,ALBIZ,Albizia sp.,ALBIZ,Albizia sp.,NA,NA,Albizia,NA,NA,NA,0,FALSE,0,FALSE,ALBIZIA,NA,NA,NA,NA
Dataset,HumanObservation,Liliaceae,ALBR,Allium brandegeei,Allium brandegeei,42716,Liliaceae,Alliaceae,Alliaceae,ALBR,Allium brandegei,ALBR,Allium brandegei,ALBR,Allium brandegei,NA,NA,Brandegee's onion,Forb,Perennial,Native,0,FALSE,1,TRUE,ALLBRA,UPL,Upland,NA,NA
Dataset,HumanObservation,Liliaceae,ALBR2,Allium brevistylum,Allium brevistylum,42717,Liliaceae,NA,Alliaceae,ALBR2,Allium brevistylum,NA,NA,ALBR2,Allium brevistylum,NA,NA,Short-style onion,Forb,Perennial,Native,0,FALSE,1,TRUE,ALLBRE,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,ALCA4,Alopecurus carolinianus,Alopecurus carolinianus,40440,Gramineae,NA,NA,ALCA4,Alopecurus carolinianus,NA,NA,NA,NA,NA,NA,Carolina foxtail,Graminoid,Annual,Native,0,FALSE,1,TRUE,ALOCAR,FACW,Facultative Wetland,"Plants.usda.gov, 5/2011",C3
Dataset,HumanObservation,Liliaceae,ALCE2,Allium cernuum,Allium cernuum,42721,Liliaceae,Alliaceae,NA,ALCE2,Allium cernuum,ALCE2,Allium cernuum,NA,NA,NA,Includes var. cernuum & obtusum.,Nodding onion,Forb,Perennial,Native,0,FALSE,1,TRUE,ALLCER,UPL,Upland,NA,NA
Dataset,HumanObservation,Brassicaceae,ALDE,Alyssum desertorum,Alyssum desertorum,23032,Cruciferae,Brassicaceae,Brassicaceae,ALDE,Alyssum desertorum,ALDE,Alyssum desertorum,ALDE,Alyssum desertorum,NA,NA,Desert madwort,Forb,Annual,NonNative,0,FALSE,1,TRUE,ALYDES,UPL,Upland,NA,NA
